Strain Name	Virus Species	Virus Genus	Virus Family	GenBank Accession	Sequence Length	Collection Date	Host	GenBank Host	Country	Mol Type	Complete Sequence	class_human_host	class_pathogenic	class_intersect
PREDICT/PDF-2180	Bat coronavirus	-N/A-	Coronaviridae	KX574227	29642	02/20/2013	Bat	Pipistrellus cf. hesperidus; specimen voucher: OTBA03-20130220	Uganda	genomic RNA	Yes	0	0	0
PREDICT/PDF-2180	Bat coronavirus	-N/A-	Coronaviridae	NC_034440*	29642	02/20/2013	Bat	Pipistrellus cf. hesperidus; specimen voucher: OTBA03-20130220	Uganda	genomic RNA	Yes	0	0	0
BY140568	-N/A-	Betacoronavirus	Coronaviridae	MN611520	30511	03/2018	Bat	Pipistrellus abramus	China	genomic RNA	Yes	0	0	0
TT03f	Pipistrellus bat coronavirus HKU5	Betacoronavirus	Coronaviridae	EF065510	30488	-N/A-	Bat	bat	China	genomic RNA	Yes	0	0	0
TT06f	Pipistrellus bat coronavirus HKU5	Betacoronavirus	Coronaviridae	EF065511	30488	-N/A-	Bat	bat	China	genomic RNA	Yes	0	0	0
TT07f	Pipistrellus bat coronavirus HKU5	Betacoronavirus	Coronaviridae	EF065512	30487	-N/A-	Bat	bat	China	genomic RNA	Yes	0	0	0
BtPa-GD2013	Pipistrellus bat coronavirus HKU5	Betacoronavirus	Coronaviridae	KJ473820	30480	2013	Bat	Pipistrellus abramus	China	genomic RNA	Yes	0	0	0
BY140562	Pipistrellus bat coronavirus HKU5	Betacoronavirus	Coronaviridae	MH002341	30480	06/28/2014	Unknown	-N/A-	China	genomic RNA	Yes	0	0	0
LMH03f	Pipistrellus bat coronavirus HKU5	Betacoronavirus	Coronaviridae	EF065509	30482	-N/A-	Bat	bat	China	genomic RNA	Yes	0	0	0
HKU5-1 LMH03f	Pipistrellus bat coronavirus HKU5	Betacoronavirus	Coronaviridae	NC_009020*	30482	-N/A-	Bat	bat	China	genomic RNA	Yes	0	0	0
YD13403	Pipistrellus bat coronavirus HKU5	Betacoronavirus	Coronaviridae	MH002342	30529	06/03/2013	Unknown	-N/A-	China	genomic RNA	Yes	0	0	0
BY140535	Pipistrellus bat coronavirus HKU5	Betacoronavirus	Coronaviridae	MH002340	30494	06/26/2014	Unknown	-N/A-	China	genomic RNA	Yes	0	0	0
Bat-CoV/H.savii/Italy/206645-40/2011	-N/A-	Betacoronavirus	Coronaviridae	MG596802	30048	2011	Bat	Hypsugo savii	Italy	genomic RNA	Yes	0	0	0
Bat-CoV/P.khulii/Italy/206645-63/2011	-N/A-	Betacoronavirus	Coronaviridae	MG596803	30039	2011	Bat	Pipistrellus kuhlii	Italy	genomic RNA	Yes	0	0	0
GZ131656	-N/A-	Betacoronavirus	Coronaviridae	MN611519	30224	03/2018	Bat	Tylonycteris pachypus	China	genomic RNA	Yes	0	0	0
B05f	Tylonycteris bat coronavirus HKU4	Betacoronavirus	Coronaviridae	EF065506	30286	-N/A-	Bat	bat	China	genomic RNA	Yes	0	0	0
B07f	Tylonycteris bat coronavirus HKU4	Betacoronavirus	Coronaviridae	EF065507	30286	-N/A-	Bat	bat	China	genomic RNA	Yes	0	0	0
B04f	Tylonycteris bat coronavirus HKU4	Betacoronavirus	Coronaviridae	EF065505	30286	-N/A-	Bat	bat	China	genomic RNA	Yes	0	0	0
HKU4-1 B04f	Tylonycteris bat coronavirus HKU4	Betacoronavirus	Coronaviridae	NC_009019*	30286	-N/A-	Bat	bat	China	genomic RNA	Yes	0	0	0
LMH1f	Tylonycteris bat coronavirus HKU4	Betacoronavirus	Coronaviridae	EF065508	30316	-N/A-	Bat	bat	China	genomic RNA	Yes	0	0	0
SZ140324	Tylonycteris bat coronavirus HKU4	Betacoronavirus	Coronaviridae	MH002339	30280	04/23/2014	Unknown	-N/A-	China	genomic RNA	Yes	0	0	0
BtCoV/133/2005	Bat coronavirus (BtCoV/133/2005)	Betacoronavirus	Coronaviridae	DQ648794	30307	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	Yes	0	0	0
BtTp-GX2012	Tylonycteris bat coronavirus HKU4	Betacoronavirus	Coronaviridae	KJ473822	30247	2012	Bat	Tylonycteris pachypus	China	genomic RNA	Yes	0	0	0
CZ01	Tylonycteris bat coronavirus HKU4	Betacoronavirus	Coronaviridae	MH002337	30255	11/01/2012	Unknown	-N/A-	China	genomic RNA	Yes	0	0	0
CZ07	Tylonycteris bat coronavirus HKU4	Betacoronavirus	Coronaviridae	MH002338	30252	11/01/2012	Unknown	-N/A-	China	genomic RNA	Yes	0	0	0
JPDB144	Bat coronavirus	-N/A-	Coronaviridae	KU182965	30321	12/2012	Bat	Myotis daubentonii	China	genomic RNA	Yes	0	0	0
BtRl-BetaCoV/SC2018	-N/A-	Betacoronavirus	Coronaviridae	MK211374	29648	08/2016	Bat	Rhinolophus sp.	China	genomic RNA	Yes	0	0	0
BtRs-BetaCoV/YN2018A	-N/A-	Betacoronavirus	Coronaviridae	MK211375	29698	09/2016	Bat	Rhinolophus affinis	China	genomic RNA	Yes	0	0	0
BtRs-BetaCoV/YN2018C	-N/A-	Betacoronavirus	Coronaviridae	MK211377	29689	09/2016	Bat	Rhinolophus affinis	China	genomic RNA	Yes	0	0	0
As6526	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	KY417142	29725	05/12/2014	Bat	Aselliscus stoliczkanus	China	genomic RNA	Yes	0	1	0
Rs4237	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	KY417147	29741	04/17/2013	Bat	Rhinolophus sinicus	China	genomic RNA	Yes	0	1	0
Rs4247	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	KY417148	29743	04/17/2013	Bat	Rhinolophus sinicus	China	genomic RNA	Yes	0	1	0
BtRs-BetaCoV/YN2018D	-N/A-	Betacoronavirus	Coronaviridae	MK211378	30213	09/2016	Bat	Rhinolophus affinis	China	genomic RNA	Yes	0	0	0
Rs4081	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	KY417143	29741	09/18/2012	Bat	Rhinolophus sinicus	China	genomic RNA	Yes	0	1	0
Rs4255	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	KY417149	29743	04/17/2013	Bat	Rhinolophus sinicus	China	genomic RNA	Yes	0	1	0
Rs672	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	FJ588686	29059	2006	Bat	Rhinolophus sinicus	China	genomic RNA	Yes	0	1	0
BtRs-BetaCoV/YN2018B	-N/A-	Betacoronavirus	Coronaviridae	MK211376	30256	09/2016	Bat	Rhinolophus affinis	China	genomic RNA	Yes	0	0	0
Rs7327	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	KY417151	30307	10/24/2014	Bat	Rhinolophus sinicus	China	genomic RNA	Yes	0	1	0
Rs9401	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	KY417152	29769	10/16/2015	Bat	Rhinolophus sinicus	China	genomic RNA	Yes	0	1	0
Rs3367	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	KC881006	29792	03/19/2012	Bat	Rhinolophus sinicus	China	genomic RNA	Yes	0	1	0
WIV1	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	KF367457	30309	09/2012	Bat	Rhinolophus sinicus	China	genomic RNA	Yes	0	1	0
RsSHC014	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	KC881005	29787	04/17/2011	Bat	Rhinolophus sinicus	China	genomic RNA	Yes	0	1	0
Rs4084	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	KY417144	29770	09/18/2012	Bat	Rhinolophus sinicus	China	genomic RNA	Yes	0	1	0
WIV16	-N/A-	Betacoronavirus	Coronaviridae	KT444582	30290	07/21/2013	Bat	Rhinolophus sinicus	China	genomic RNA	Yes	0	0	0
Rs4874	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	KY417150	30311	07/21/2013	Bat	Rhinolophus sinicus	China	genomic RNA	Yes	0	1	0
Rs4231	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	KY417146	29782	04/17/2013	Bat	Rhinolophus sinicus	China	genomic RNA	Yes	0	1	0
civet007	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY572034	29540	2004	Civet	civet	China	genomic RNA	Yes	0	1	0
civet010	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY572035	29518	2004	Civet	civet	China	genomic RNA	Yes	0	1	0
HC/SZ/79/03	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY545914	29723	2003	Civet	-N/A-	China	genomic RNA	Yes	0	1	0
A022	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY686863	29499	2004	Civet	-N/A-	-N/A-	genomic RNA	Yes	0	1	0
B039	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY686864	29525	2004	Civet	palm civet	-N/A-	genomic RNA	Yes	0	1	0
HC/SZ/61/03	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY515512	29731	-N/A-	Civet	Paguma larvata (Himalayan palm civets)	China	genomic RNA	Yes	0	1	0
HC/GZ/32/03	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY545918	29737	2003	Civet	-N/A-	China	genomic RNA	Yes	0	1	0
HC/SZ/266/03	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY545916	29721	2003	Civet	-N/A-	China	genomic RNA	Yes	0	1	0
civet020	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY572038	29683	2004	Civet	civet	China	genomic RNA	Yes	0	1	0
HC/SZ/DM1/03	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY545915	29714	2003	Civet	-N/A-	China	genomic RNA	Yes	0	1	0
CFB/SZ/94/03	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY545919	29739	2003	Badger	-N/A-	China	genomic RNA	Yes	0	1	0
HC/GZ/81/03	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY545917	29739	2003	Civet	-N/A-	China	genomic RNA	Yes	0	1	0
PC4-227	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY613950	29728	2004	Civet	palm civet	China	genomic RNA	Yes	0	1	0
PC4-13	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY613948	29730	2004	Civet	palm civet	China	genomic RNA	Yes	0	1	0
PC4-136	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY613949	29730	2004	Civet	palm civet	China	genomic RNA	Yes	0	1	0
GZ0401	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY568539	29730	2004	Human	-N/A-	China	genomic RNA	Yes	1	1	1
GZ0402	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY613947	29730	2004	Human	-N/A-	China	genomic RNA	Yes	1	1	1
A001	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	FJ959407	29694	-N/A-	Civet	palm civet	China	genomic RNA	Yes	0	1	0
SZ16	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY304488	29731	2003	Civet	-N/A-	Hong Kong	genomic RNA	Yes	0	1	0
SZ3	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY304486	29741	2003	Civet	-N/A-	Hong Kong	genomic RNA	Yes	0	1	0
GD01	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY278489	29757	2003	Human	-N/A-	-N/A-	genomic RNA	Yes	1	1	1
GZ02	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY390556	29760	2003	Human	-N/A-	China	genomic RNA	Yes	1	1	1
ZS-A	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY394997	29683	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	Yes	0	1	0
ZS-B	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY394996	29683	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	Yes	0	1	0
ZS-C	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY395003	29647	2003	Human	-N/A-	-N/A-	genomic RNA	Yes	1	1	1
CV7	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	DQ898174	29751	-N/A-	Unknown	-N/A-	Canada	genomic RNA	Yes	0	1	0
HSR 1	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY323977	29751	-N/A-	Human	-N/A-	Italy	genomic RNA	Yes	1	1	1
Sequence 14 from Patent WO2005035556	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	CS079026	29751	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	Yes	0	1	0
Sequence 15 from Patent WO2004096842	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	CQ918598	29751	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	Yes	0	1	0
UNKNOWN-DJ045279	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	DJ045279	29751	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	Yes	0	1	0
Tor2	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	NC_004718*	29751	-N/A-	Unknown	-N/A-	Canada	genomic RNA	Yes	0	1	0
Tor2	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY274119	29751	-N/A-	Human	Homo sapiens; patient #2 with severe acute respiratory syndrome (SARS)	Canada	genomic RNA	Yes	1	1	1
Sequence 1 from Patent WO2004096842	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	CQ918584	29736	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	Yes	0	1	0
Sequence 2 from Patent WO2004096842	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	CQ918585	29736	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	Yes	0	1	0
CUHK-AG01	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY345986	29736	2003	Human	-N/A-	-N/A-	genomic RNA	Yes	1	1	1
CUHK-AG02	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY345987	29736	2003	Human	-N/A-	-N/A-	genomic RNA	Yes	1	1	1
LC1	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY394998	29736	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	Yes	0	1	0
CUHK-Su10	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY282752	29736	2003	Human	-N/A-	-N/A-	genomic RNA	Yes	1	1	1
CUHK-AG03	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY345988	29736	2003	Human	-N/A-	-N/A-	genomic RNA	Yes	1	1	1
Sequence 1 from Patent WO2006039656	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	CS569493	29751	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	Yes	0	1	0
Sequence 67 from Patent WO2004011647	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	CS254197	29751	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	Yes	0	1	0
UNKNOWN-DL476508	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	DL476508	29751	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	Yes	0	1	0
UNKNOWN-HW269828	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	HW269828	29751	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	Yes	0	1	0
UNKNOWN-HW375992	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	HW375992	29751	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	Yes	0	1	0
CDC#200301157	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY714217	29727	2003	Human	-N/A-	USA	genomic RNA	Yes	1	1	1
HKU-39849	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	JQ316196	29727	04/16/2003	Unknown	-N/A-	United Kingdom	genomic RNA	Yes	0	1	0
recSARS-CoV HKU-39849	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	JN854286	29727	04/16/2003	Unknown	-N/A-	United Kingdom	genomic RNA	Yes	0	1	0
TW1	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY291451	29729	2003	Human	-N/A-	Taiwan	genomic RNA	Yes	1	1	1
TW2	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY502925	29729	2003	Human	-N/A-	Taiwan	genomic RNA	Yes	1	1	1
TW3	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY502926	29729	2003	Human	-N/A-	Taiwan	genomic RNA	Yes	1	1	1
TW4	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY502927	29729	2003	Human	-N/A-	Taiwan	genomic RNA	Yes	1	1	1
TW10	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY502923	29729	2003	Human	-N/A-	Taiwan	genomic RNA	Yes	1	1	1
TW9	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY502932	29729	2003	Human	-N/A-	Taiwan	genomic RNA	Yes	1	1	1
TW5	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY502928	29729	2003	Human	-N/A-	Taiwan	genomic RNA	Yes	1	1	1
TW6	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY502929	29729	2003	Human	-N/A-	Taiwan	genomic RNA	Yes	1	1	1
TW7	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY502930	29729	2003	Human	-N/A-	Taiwan	genomic RNA	Yes	1	1	1
TW8	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY502931	29729	2003	Human	-N/A-	Taiwan	genomic RNA	Yes	1	1	1
TWC2	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY362698	29727	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	Yes	0	1	0
TWH	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AP006557	29727	-N/A-	Human	-N/A-	-N/A-	genomic RNA	Yes	1	1	1
TWC3	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY362699	29727	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	Yes	0	1	0
TWK	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AP006559	29727	-N/A-	Human	-N/A-	-N/A-	genomic RNA	Yes	1	1	1
TWS	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AP006560	29727	-N/A-	Human	-N/A-	-N/A-	genomic RNA	Yes	1	1	1
TWY	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AP006561	29727	-N/A-	Human	-N/A-	-N/A-	genomic RNA	Yes	1	1	1
UNKNOWN-DJ059765	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	DJ059765	29746	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	Yes	0	1	0
UNKNOWN-DL008527	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	DL008527	29746	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	Yes	0	1	0
UNKNOWN-CS116934	unidentified coronavirus	-N/A-	Coronaviridae	CS116934	29746	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	Yes	0	0	0
UNKNOWN-CS117114	unidentified coronavirus	-N/A-	Coronaviridae	CS117114	29746	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	Yes	0	0	0
UNKNOWN-HW364297	unknown	-N/A-	Coronaviridae	HW364297	29746	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	Yes	0	0	0
UNKNOWN-CS079027	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	CS079027	29727	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	Yes	0	1	0
UNKNOWN-DJ066921	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	DJ066921	29727	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	Yes	0	1	0
Urbani	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY278741	29727	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	Yes	0	1	0
UNKNOWN-CQ903009	unidentified human coronavirus	-N/A-	Coronaviridae	CQ903009	29727	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	Yes	0	0	0
MA-15	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	DQ497008	29727	-N/A-	Mouse	-N/A-	-N/A-	genomic RNA	Yes	0	1	0
TWC	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY321118	29725	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	Yes	0	1	0
ZJ02	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	EU371559	29731	2003	Unknown	-N/A-	-N/A-	genomic RNA	Yes	0	1	0
FRA	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY310120	29740	2003	Human	-N/A-	-N/A-	genomic RNA	Yes	1	1	1
Frankfurt 1	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY291315	29727	2003	Human	-N/A-	-N/A-	genomic RNA	Yes	1	1	1
AS	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY427439	29711	2003	Human	-N/A-	-N/A-	genomic RNA	Yes	1	1	1
SIN2500	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY283794	29711	-N/A-	Unknown	-N/A-	Singapore	genomic RNA	Yes	0	1	0
SIN2679	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY283796	29711	-N/A-	Unknown	-N/A-	Singapore	genomic RNA	Yes	0	1	0
SIN2774	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY283798	29711	-N/A-	Unknown	-N/A-	Singapore	genomic RNA	Yes	0	1	0
SIN2748	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY283797	29706	-N/A-	Unknown	-N/A-	Singapore	genomic RNA	Yes	0	1	0
SIN2677	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY283795	29705	-N/A-	Unknown	-N/A-	Singapore	genomic RNA	Yes	0	1	0
TWJ	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AP006558	29725	-N/A-	Human	-N/A-	-N/A-	genomic RNA	Yes	1	1	1
BJ162	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY864805	29751	-N/A-	Unknown	-N/A-	China	genomic RNA	Yes	0	1	0
BJ202	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY864806	29751	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	Yes	0	1	0
CUHK-W1	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY278554	29736	2003	Human	-N/A-	China	genomic RNA	Yes	1	1	1
UNKNOWN-CS079029	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	CS079029	29736	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	Yes	0	1	0
HGZ8L2	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY394993	29736	2003	Human	-N/A-	-N/A-	genomic RNA	Yes	1	1	1
HZS2-C	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY394992	29736	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	Yes	0	1	0
HZS2-D	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY394989	29736	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	Yes	0	1	0
HZS2-E	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY394990	29736	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	Yes	0	1	0
HZS2-Fc	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY394991	29736	2003	Human	-N/A-	-N/A-	genomic RNA	Yes	1	1	1
HZS2-Fb	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY394987	29709	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	Yes	0	1	0
HSZ2-A	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY394983	29699	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	Yes	0	1	0
Tor2/FP1-10851	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	JX163924	29646	02/05/2010	Unknown	-N/A-	USA	genomic RNA	Yes	0	1	0
Tor2/FP1-10851	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	JX163927	29646	02/05/2010	Unknown	-N/A-	USA	genomic RNA	Yes	0	1	0
Tor2/FP1-10912	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	JX163926	29646	02/10/2010	Unknown	-N/A-	USA	genomic RNA	Yes	0	1	0
Tor2/FP1-10895	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	JX163928	29646	02/05/2010	Unknown	-N/A-	USA	genomic RNA	Yes	0	1	0
Tor2/FP1-10895	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	JX163925	29646	02/05/2010	Unknown	-N/A-	USA	genomic RNA	Yes	0	1	0
Tor2/FP1-10912	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	JX163923	29646	02/10/2010	Unknown	-N/A-	USA	genomic RNA	Yes	0	1	0
HKU-39849	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	GU553363	29644	06/07/2003	Human	Homo sapiens	China	genomic RNA	Yes	1	1	1
HKU-39849	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	GU553364	29644	06/07/2003	Human	Homo sapiens	China	genomic RNA	Yes	1	1	1
HKU-39849	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	GU553365	29644	12/05/2007	Monkey	Chlorocebus aethiops	USA	genomic RNA	Yes	0	1	0
PUMC01	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY350750	29738	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	Yes	0	1	0
Sin3725V	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY559087	29716	-N/A-	Unknown	-N/A-	Singapore	genomic RNA	Yes	0	1	0
Sin3765V	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	AY559084	29722	-N/A-	Unknown	-N/A-	Singapore	genomic RNA	Yes	0	1	0
